article_name,country,revision_id,population,article_quality
Sibonile Nyamudeza,Zimbabwe,717380254,"17,354,000",Stub
Misheck Kagurabadza,Zimbabwe,720008799,"17,354,000",Stub
Morgan Femai,Zimbabwe,721674926,"17,354,000",Stub
Bybit Lydia Tsomondo,Zimbabwe,723082034,"17,354,000",Stub
Kisinoti Mukwazhe,Zimbabwe,723353282,"17,354,000",Stub
David Karimanzira,Zimbabwe,725242133,"17,354,000",Stub
Sobusa Gula-Ndebele,Zimbabwe,726651867,"17,354,000",Stub
Sylvester Nguni,Zimbabwe,726686195,"17,354,000",Stub
Thamsanqa Mahlangu,Zimbabwe,726687480,"17,354,000",Stub
Tichaona Mudzingwa,Zimbabwe,726687648,"17,354,000",Stub
Murisi Zwizwai,Zimbabwe,726687669,"17,354,000",Stub
Samuel Undenge,Zimbabwe,726688144,"17,354,000",Stub
Reuben Marumahoko,Zimbabwe,726688205,"17,354,000",Stub
Simon Khaya-Moyo,Zimbabwe,730764918,"17,354,000",Stub
"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,"17,354,000",B
Jevan Maseko,Zimbabwe,736911246,"17,354,000",Stub
Munacho Mutezo,Zimbabwe,738729779,"17,354,000",Stub
Sesel Zvidzai,Zimbabwe,738810400,"17,354,000",Stub
Samuel Sipepa Nkomo,Zimbabwe,738992625,"17,354,000",Stub
Faber Chidarikire,Zimbabwe,738992871,"17,354,000",Start
Willard Chiwewe,Zimbabwe,738992910,"17,354,000",Stub
Martin Dinha,Zimbabwe,738992918,"17,354,000",Stub
Herbert Ushewokunze,Zimbabwe,739137894,"17,354,000",Stub
Nyasha Chikwinya,Zimbabwe,742899761,"17,354,000",Start
Naomi Nhiwatiwa,Zimbabwe,743971092,"17,354,000",Start
Bright Matonga,Zimbabwe,744753863,"17,354,000",Stub
Thokozani Khuphe,Zimbabwe,747274193,"17,354,000",Start
Border Gezi,Zimbabwe,748061603,"17,354,000",Start
Rugare Gumbo,Zimbabwe,749496266,"17,354,000",Start
George Nyandoro,Zimbabwe,750224976,"17,354,000",Start
Paul Chimedza,Zimbabwe,750428952,"17,354,000",Stub
Gorden Moyo,Zimbabwe,750974704,"17,354,000",Stub
Daniel Shumba,Zimbabwe,753294248,"17,354,000",Start
Douglas Mombeshora,Zimbabwe,755110125,"17,354,000",Stub
Munyaradzi Gwisai,Zimbabwe,755337199,"17,354,000",Start
Olivia Muchena,Zimbabwe,757616307,"17,354,000",Start
Paurine Mpariwa,Zimbabwe,757616437,"17,354,000",Stub
Sithembiso Nyoni,Zimbabwe,757617613,"17,354,000",Stub
Earnest Mudzengi,Zimbabwe,757796569,"17,354,000",Stub
Gift Banda,Zimbabwe,758442662,"17,354,000",Stub
Wilson Kumbula,Zimbabwe,759330558,"17,354,000",Stub
Paurina Mpariwa,Zimbabwe,760532029,"17,354,000",Stub
Flora Buka,Zimbabwe,762630896,"17,354,000",Stub
Elliot Manyika,Zimbabwe,763330074,"17,354,000",Start
Diana Mitchell,Zimbabwe,764299725,"17,354,000",Start
Maurice Nyagumbo,Zimbabwe,764826793,"17,354,000",Start
Josiah Zion Gumede,Zimbabwe,765095810,"17,354,000",Start
Edson Zvobgo,Zimbabwe,767922311,"17,354,000",Start
Felix Magalela Mafa Sibanda,Zimbabwe,769519957,"17,354,000",C
Tracy Mutinhiri,Zimbabwe,769876632,"17,354,000",Stub
Kayisa Ndiweni,Zimbabwe,771958995,"17,354,000",Stub
Enoch Dumbutshena,Zimbabwe,774026217,"17,354,000",Stub
Hubert Nyanhongo,Zimbabwe,774061307,"17,354,000",Stub
James Chikerema,Zimbabwe,775935799,"17,354,000",C
Victoria Chitepo,Zimbabwe,776389556,"17,354,000",Start
Joel Gabuza,Zimbabwe,776840034,"17,354,000",Stub
Trudy Stevenson,Zimbabwe,776943338,"17,354,000",Start
Joram Gumbo,Zimbabwe,777424335,"17,354,000",Stub
Joseph Chinotimba,Zimbabwe,777482252,"17,354,000",C
Nkululeko Sibanda,Zimbabwe,777623864,"17,354,000",Start
Janet Banana,Zimbabwe,777849777,"17,354,000",Stub
Lazarus Dokora,Zimbabwe,780062778,"17,354,000",Stub
Lutho Tapela,Zimbabwe,782607746,"17,354,000",Stub
Moven Mahachi,Zimbabwe,783298283,"17,354,000",Start
Margaret Dongo,Zimbabwe,783419906,"17,354,000",Start
Sekai Holland,Zimbabwe,783637102,"17,354,000",C
George Chiweshe,Zimbabwe,783919896,"17,354,000",Start
Josiah Mushore Chinamano,Zimbabwe,784396785,"17,354,000",Stub
Michael Bimha,Zimbabwe,784668448,"17,354,000",Stub
Josiah Tongogara,Zimbabwe,786913202,"17,354,000",C
Naison Ndlovu,Zimbabwe,787854175,"17,354,000",Stub
Enos Mdlongwa,Zimbabwe,787854640,"17,354,000",Stub
Lindiwe Majele Sibanda,Zimbabwe,788247480,"17,354,000",Start
Ndabaningi Sithole,Zimbabwe,788291899,"17,354,000",C
Ambrose Mutinhiri,Zimbabwe,788777043,"17,354,000",Stub
Judith Todd,Zimbabwe,788792548,"17,354,000",Start
Andrew Langa,Zimbabwe,789094827,"17,354,000",Stub
Christopher Kuruneri,Zimbabwe,789427326,"17,354,000",Start
Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,"17,354,000",Stub
Swithun Mombeshora,Zimbabwe,789545179,"17,354,000",Stub
Oppah Muchinguri,Zimbabwe,789545185,"17,354,000",Stub
Samuel Mumbengegwi,Zimbabwe,789545206,"17,354,000",Start
Chris Mushohwe,Zimbabwe,789545212,"17,354,000",Stub
Giles Mutsekwa,Zimbabwe,789545214,"17,354,000",Stub
Francis Nhema,Zimbabwe,789545220,"17,354,000",Stub
Mike Nyambuya,Zimbabwe,789545233,"17,354,000",Stub
Solomon Mujuru,Zimbabwe,789898624,"17,354,000",C
Ronald Penza,Zimbabwe,789948565,"17,354,000",Stub
Joseph Made,Zimbabwe,789965571,"17,354,000",Start
Evelyn Masaiti,Zimbabwe,790034879,"17,354,000",Stub
Jessie Majome,Zimbabwe,790035057,"17,354,000",Start
Theresa Makoni,Zimbabwe,790423262,"17,354,000",Stub
List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,"17,354,000",Stub
Blessing Chebundo,Zimbabwe,791690130,"17,354,000",Start
George Charamba,Zimbabwe,793738070,"17,354,000",Start
Chenhanho Chimutengwende,Zimbabwe,793820850,"17,354,000",Start
Simon Muzenda,Zimbabwe,794934380,"17,354,000",Start
Witness Mangwende,Zimbabwe,794934451,"17,354,000",Start
Nathan Shamuyarira,Zimbabwe,794934469,"17,354,000",C
Joseph Makamba Busha,Zimbabwe,795007156,"17,354,000",Stub
Walter Chidakwa,Zimbabwe,795247525,"17,354,000",Stub
Maxwell Zeb Shumba,Zimbabwe,795637625,"17,354,000",Start
Henry Madzorera,Zimbabwe,795846349,"17,354,000",Stub
First Lady of Zimbabwe,Zimbabwe,796477244,"17,354,000",Stub
Charles Shanyurai Majange,Zimbabwe,796608492,"17,354,000",Stub
Elleck Mashingaidze,Zimbabwe,796726442,"17,354,000",Stub
Phillip Chiyangwa,Zimbabwe,797170378,"17,354,000",Start
Chenjerai Hunzvi,Zimbabwe,797225827,"17,354,000",C
Edward Chindori-Chininga,Zimbabwe,797414978,"17,354,000",Start
Arthur Mutambara,Zimbabwe,797932659,"17,354,000",C
Edgar Tekere,Zimbabwe,798106157,"17,354,000",C
Psychology Maziwisa,Zimbabwe,798140615,"17,354,000",C
Isaac Matongo,Zimbabwe,798248963,"17,354,000",Stub
Julia Tukai Zvobgo,Zimbabwe,798468363,"17,354,000",C
Jameson Timba,Zimbabwe,799326094,"17,354,000",Stub
Ben Ncube,Zimbabwe,799405378,"17,354,000",Stub
Obedingwa Mguni,Zimbabwe,799406056,"17,354,000",Stub
Denis Norman,Zimbabwe,799605293,"17,354,000",Start
Japhet Ndabeni Ncube,Zimbabwe,800407734,"17,354,000",Stub
Nicholas Mabodoko,Zimbabwe,800407872,"17,354,000",Stub
Fay Chung,Zimbabwe,800705666,"17,354,000",C
Alfred Makwarimba,Zimbabwe,801370822,"17,354,000",Stub
Elphas Mukonoweshuro,Zimbabwe,801488585,"17,354,000",Stub
Elton Mangoma,Zimbabwe,801497420,"17,354,000",Start
Edna Madzongwe,Zimbabwe,802259324,"17,354,000",Start
Fidelis Mhashu,Zimbabwe,803084855,"17,354,000",Stub
Promise Mkwananzi,Zimbabwe,803579259,"17,354,000",Start
Saviour Kasukuwere,Zimbabwe,804677245,"17,354,000",Start
Walter Mzembi,Zimbabwe,804678140,"17,354,000",Stub
Kembo Mohadi,Zimbabwe,804811059,"17,354,000",Start
Learnmore Jongwe,Zimbabwe,804844902,"17,354,000",Start
Lovemore Madhuku,Zimbabwe,804895632,"17,354,000",C
List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,"17,354,000",Stub
Joice Mujuru,Zimbabwe,805993308,"17,354,000",C
Ignatious Chombo,Zimbabwe,806656210,"17,354,000",Start
Robert Mugabe,Zimbabwe,806814411,"17,354,000",FA
Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,"17,354,000",C
Guy Georgias,Zimbabwe,807196681,"17,354,000",Start
Grace Mugabe,Zimbabwe,807337237,"17,354,000",GA
Guy Clutton-Brock,Zimbabwe,807442408,"17,354,000",Start
Template:Uganda-politician-stub,Uganda,391862070,"40,141,000",Stub
Template:Uganda-mayor-stub,Uganda,444767727,"40,141,000",Stub
Yosia Nadiope of Busoga,Uganda,655390291,"40,141,000",Stub
Patrick Mutono,Uganda,684295893,"40,141,000",Stub
Stanislaus Okurut,Uganda,689614169,"40,141,000",Stub
Charles Oboth Ofumbi,Uganda,693292931,"40,141,000",Start
Pumla Kisosonkole,Uganda,693388584,"40,141,000",Start
Francis K. Butagira,Uganda,707473503,"40,141,000",Start
Otema Allimadi,Uganda,708054598,"40,141,000",Stub
Omwony Ojwok,Uganda,713020154,"40,141,000",Stub
Jachan Mandir Omach,Uganda,715433158,"40,141,000",Stub
Onegi Obel,Uganda,717146307,"40,141,000",Start
Saleh Kamba,Uganda,720059752,"40,141,000",Stub
John Kabaireho,Uganda,723957779,"40,141,000",Stub
Tete Chelangat,Uganda,724554948,"40,141,000",Stub
Sarah Kanyike,Uganda,725742962,"40,141,000",Stub
Gagawala Wambuzi,Uganda,726767754,"40,141,000",Stub
Julius Wandera Maganda,Uganda,726918511,"40,141,000",Stub
Haruna Kasolo Kyeyune,Uganda,726919678,"40,141,000",Stub
Yabezi Kiiza,Uganda,736273855,"40,141,000",Stub
Semei Kakungulu,Uganda,737799048,"40,141,000",Start
Abu Mayanja,Uganda,746946728,"40,141,000",C
Daniel Kidega,Uganda,753278613,"40,141,000",Start
Eng Abner Nangwale,Uganda,756457100,"40,141,000",Stub
Yowabu Magada Kawaluuko,Uganda,757388522,"40,141,000",Start
Grace Kwiyucwiny,Uganda,757563021,"40,141,000",Start
Mary Goretti Kitutu,Uganda,757615490,"40,141,000",Start
Rukiya Chekamondo,Uganda,757616921,"40,141,000",Start
Sezi Mbaguta,Uganda,757617202,"40,141,000",Start
Frederick Ngobi Gume,Uganda,758395750,"40,141,000",Stub
Rosemary Seninde,Uganda,758567928,"40,141,000",Start
Gerald Ssendaula,Uganda,759366517,"40,141,000",C
Juma Oris,Uganda,759378614,"40,141,000",Stub
Godfrey Kiwanda,Uganda,759877869,"40,141,000",Stub
Geoffrey Onegi Obel,Uganda,760056661,"40,141,000",Start
Tom Butime,Uganda,760181848,"40,141,000",Start
Dennis Galabuzi Ssozi,Uganda,760184747,"40,141,000",Start
Ken Lukyamuzi,Uganda,763247419,"40,141,000",Stub
Victoria Sekitoleko,Uganda,766481345,"40,141,000",C
Emmanuel Otala,Uganda,766665157,"40,141,000",Start
Kabakumba Masiko,Uganda,770316807,"40,141,000",C
Innocent Oula,Uganda,771724283,"40,141,000",Start
Isaac Mulindwa,Uganda,773245217,"40,141,000",Start
Hope Mwesigye,Uganda,773870932,"40,141,000",Start
Katikkiro of Buganda,Uganda,774683767,"40,141,000",Stub
Daudi Cwa II of Buganda,Uganda,774683907,"40,141,000",Start
Ssuuna II of Buganda,Uganda,774684052,"40,141,000",Start
Kamaanya of Buganda,Uganda,774684080,"40,141,000",C
Semakookiro of Buganda,Uganda,774684109,"40,141,000",Start
Jjunju of Buganda,Uganda,774684124,"40,141,000",Start
Kato Kintu,Uganda,774684195,"40,141,000",Start
Chwa I of Buganda,Uganda,774684228,"40,141,000",Start
Kyabaggu of Buganda,Uganda,774830237,"40,141,000",Start
Kiweewa of Buganda,Uganda,774831268,"40,141,000",Start
Ismael Orot,Uganda,775522497,"40,141,000",Stub
James Obita,Uganda,775995921,"40,141,000",Stub
Janat Mukwaya,Uganda,776107670,"40,141,000",Start
Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,"40,141,000",Start
Jeremiah Twa-Twa,Uganda,776491782,"40,141,000",Start
Joyce Kakuramatsi Kikafunda,Uganda,777643576,"40,141,000",Stub
Kania Obiga,Uganda,778265355,"40,141,000",Stub
Apollo Kironde,Uganda,778598971,"40,141,000",Stub
Kibirige Mayanja,Uganda,778840186,"40,141,000",Start
Kintu Musoke,Uganda,779007768,"40,141,000",Start
Jessica Alupo,Uganda,779397351,"40,141,000",Start
Rebecca Amuge Otengo,Uganda,779397437,"40,141,000",Start
Syda Bbumba,Uganda,779397532,"40,141,000",Start
Alintuma Nsambu,Uganda,781605803,"40,141,000",Stub
Esther Mbulakubuza Mbayo,Uganda,781789704,"40,141,000",Start
Abdul Nadduli,Uganda,782460126,"40,141,000",Stub
Moses Kizige,Uganda,782979760,"40,141,000",Start
Maria Kiwanuka,Uganda,783449036,"40,141,000",Start
Elijah Mushemeza,Uganda,784734768,"40,141,000",Start
Michael Lulume Bayigga,Uganda,784768216,"40,141,000",Start
Deo Rwabiita,Uganda,785038536,"40,141,000",Stub
Daudi Ochieng,Uganda,785108122,"40,141,000",Stub
Joy Kabatsi,Uganda,785339072,"40,141,000",Start
Joshua Wanume Kibedi,Uganda,785862055,"40,141,000",C
Kizza Besigye,Uganda,786081128,"40,141,000",C
Apolo Kagwa,Uganda,786226893,"40,141,000",C
Michael Kawalya Kagwa,Uganda,787306486,"40,141,000",Stub
Abed Bwanika,Uganda,787410566,"40,141,000",Start
Aggrey Awori,Uganda,787858057,"40,141,000",C
Aggrey Bagiire,Uganda,787858062,"40,141,000",Stub
Agnes Akiror,Uganda,787870163,"40,141,000",Start
Namirembe Bitamazire,Uganda,788019797,"40,141,000",Start
Amon Bazira,Uganda,788899061,"40,141,000",Stub
Christopher Iga,Uganda,788972378,"40,141,000",Stub
Nasser Sebaggala,Uganda,788972461,"40,141,000",Start
Erias Lukwago,Uganda,788972566,"40,141,000",Start
Template:KampalaMayors,Uganda,788972642,"40,141,000",Stub
Beatrice Wabudeya,Uganda,789747515,"40,141,000",Start
Jane Aceng,Uganda,789747629,"40,141,000",C
Ruth Achieng,Uganda,789747664,"40,141,000",Stub
Justine Ayebazibwe,Uganda,789748037,"40,141,000",Stub
Jessica Eriyo,Uganda,789748269,"40,141,000",Start
Mary Karooro Okurut,Uganda,789748670,"40,141,000",C
Adrian Tibaleka,Uganda,789748752,"40,141,000",Stub
Nusura Tiperu,Uganda,789748782,"40,141,000",Start
Florence Nakiwala Kiyingi,Uganda,789748978,"40,141,000",Start
Ruth Nankabirwa,Uganda,789799593,"40,141,000",Start
Justine Lumumba Kasule,Uganda,789799605,"40,141,000",Start
Idah Nantaba,Uganda,789799744,"40,141,000",C
Harriet Ntabazi,Uganda,789799847,"40,141,000",Start
Florence Nebanda,Uganda,789799901,"40,141,000",Start
Lukia Isanga Nakadama,Uganda,789799952,"40,141,000",Start
Mariam Nalubega,Uganda,789799984,"40,141,000",Start
Jenipher Namuyangu,Uganda,789800111,"40,141,000",C
Sarah Kataike,Uganda,789800331,"40,141,000",C
Caroline Amali Okao,Uganda,789800629,"40,141,000",Start
Beatrice Rwakimari,Uganda,789803765,"40,141,000",Stub
Mariam Naigaga,Uganda,790372580,"40,141,000",C
Rose Akol,Uganda,790424964,"40,141,000",Start
Amelia Kyambadde,Uganda,790428762,"40,141,000",Start
Jehoash Mayanja Nkangi,Uganda,790837175,"40,141,000",Start
Joash Mayanja Nkangi,Uganda,790993796,"40,141,000",C
Moses Adome,Uganda,791007274,"40,141,000",Stub
Paulson Luttamaguzi,Uganda,791007297,"40,141,000",Stub
Charles Engola,Uganda,793154991,"40,141,000",Start
Cerinah Nebanda,Uganda,793515881,"40,141,000",Start
John Ssebaana Kizito,Uganda,793539141,"40,141,000",Start
Persis Namuganza,Uganda,793628029,"40,141,000",Start
Christine Amongin Aporu,Uganda,794194807,"40,141,000",Start
Christine Ondoa,Uganda,794200311,"40,141,000",Start
Concy Aciro,Uganda,795100048,"40,141,000",Start
Peace Mutuuzo,Uganda,795181968,"40,141,000",Start
Patrick Kayemba,Uganda,795404749,"40,141,000",Stub
Alengot Oromait,Uganda,795458281,"40,141,000",Start
Beti Kamya-Turwomwe,Uganda,796177970,"40,141,000",C
Abdu Katuntu,Uganda,796406864,"40,141,000",Start
Loyce Biira Bwambale,Uganda,796684047,"40,141,000",Start
Mike Kennedy Sebalu,Uganda,796694225,"40,141,000",Stub
Miria Matembe,Uganda,796695675,"40,141,000",Start
Kalema of Buganda,Uganda,796808819,"40,141,000",Start
Maria Mutagamba,Uganda,796899099,"40,141,000",C
Sarah Achieng Opendi,Uganda,796991691,"40,141,000",Start
Benedicto Kiwanuka,Uganda,797399615,"40,141,000",Start
Yusuf Lule,Uganda,797449179,"40,141,000",Start
Miria Obote,Uganda,797874277,"40,141,000",Stub
Grace Akello,Uganda,798483499,"40,141,000",Start
Joyce Moriku,Uganda,798506935,"40,141,000",Start
David Karubanga,Uganda,799178559,"40,141,000",Stub
Peter Takirambudde,Uganda,799513148,"40,141,000",Stub
Mustafa Adrisi,Uganda,799651351,"40,141,000",Stub
Rose Namayanja,Uganda,800003733,"40,141,000",C
Timeline of Kampala,Uganda,800090136,"40,141,000",C
Dora Byamukama,Uganda,800350710,"40,141,000",Stub
Kirya Balaki Kebba,Uganda,800452152,"40,141,000",C
Ismail Ogama,Uganda,800595514,"40,141,000",Stub
Kassiano Wadri,Uganda,800595577,"40,141,000",Stub
Abraham Waligo,Uganda,800900766,"40,141,000",Stub
Rebecca Kadaga,Uganda,800965489,"40,141,000",C
Emma Boona,Uganda,801577218,"40,141,000",C
Augustine Nshimye,Uganda,801836959,"40,141,000",Start
